Code,Name,Description,Prerequisites,Instructors,Meet Times,Credit Hours,Department
CRW4211,Creative Nonfiction,"Creative writing workshop which introduces genres of creative nonfiction (e.g. memoir, personal essay, travel writing) and provides training in those genres. Appropriate for, but not limited to, English majors.","Prereq: 6 credits of AML, CRW, ENG, ENL, or LIT.",David Leavitt,"[{'meetNo': 1, 'meetDays': ['M'], 'meetTimeBegin': '12:50 PM', 'meetTimeEnd': '3:50 PM', 'meetPeriodBegin': '6', 'meetPeriodEnd': '8', 'meetBuilding': 'TUR', 'meetBldgCode': '0267', 'meetRoom': '2334'}]",3,English
CRW4905,Senior Advanced Workshop in Fiction Writing: SEN ADV FICTION WORK,"For students who want to trouble the literary editors and readers of the future. Many members of this class have gone on to graduate school in writing. Ants eat everything that is written, said an explorer. This is a workshop for ants. Admission by manuscript review during advanced registration (refer to department website); by prerequisite during drop/add.",Prereq: CRW 3110.,Uwem Akpan,"[{'meetNo': 1, 'meetDays': ['R'], 'meetTimeBegin': '4:05 PM', 'meetTimeEnd': '7:05 PM', 'meetPeriodBegin': '9', 'meetPeriodEnd': '11', 'meetBuilding': 'TUR', 'meetBldgCode': '0267', 'meetRoom': 'B310'}]",3,English
CRW6130,Fiction Writing,Fiction Writing,,David Leavitt,"[{'meetNo': 1, 'meetDays': ['T'], 'meetTimeBegin': '4:05 PM', 'meetTimeEnd': '7:05 PM', 'meetPeriodBegin': '9', 'meetPeriodEnd': '11', 'meetBuilding': 'FLI', 'meetBldgCode': '0008', 'meetRoom': '0121'}]",3,English
CRW6166,Studies in Literary Form: Apollonian & Dionysian,Formal aspects of literature.,Prereq: consent of instructor.,Ange Mlinko,"[{'meetNo': 1, 'meetDays': ['W'], 'meetTimeBegin': '12:50 PM', 'meetTimeEnd': '3:50 PM', 'meetPeriodBegin': '6', 'meetPeriodEnd': '8', 'meetBuilding': '', 'meetBldgCode': '', 'meetRoom': ''}]",3,English
CRW6331,Verse Writing,Verse Writing,,Michael Hofmann,"[{'meetNo': 1, 'meetDays': ['M'], 'meetTimeBegin': '4:05 PM', 'meetTimeEnd': '7:05 PM', 'meetPeriodBegin': '9', 'meetPeriodEnd': '11', 'meetBuilding': 'FLI', 'meetBldgCode': '0008', 'meetRoom': '0117'}]",3,English
ENC1136,Multimodal Writing and Digital Literacy,"Teaches digital literacy and digital creativity. Compose and convey creative, well-researched, carefully crafted information through digital platforms and multimodal documents. Also promotes digital writing and research as central to academic, civic, and personal expression.",,Toluwani Odedeyi,"[{'meetNo': 1, 'meetDays': ['M', 'W', 'F'], 'meetTimeBegin': '10:40 AM', 'meetTimeEnd': '11:30 AM', 'meetPeriodBegin': '4', 'meetPeriodEnd': '4', 'meetBuilding': 'TUR', 'meetBldgCode': '0267', 'meetRoom': 'B310'}]",3,English
ENC1145,Topics for Composition,Instruction in expository-argumentative writing related to one special topic selected by the instructor. Readings include variable genres from different disciplines. (WR),Prereq: ENC 1101 or test score equivalency.,Lindsey Scott,"[{'meetNo': 1, 'meetDays': ['M', 'W', 'F'], 'meetTimeBegin': '11:45 AM', 'meetTimeEnd': '12:35 PM', 'meetPeriodBegin': '5', 'meetPeriodEnd': '5', 'meetBuilding': 'MAT', 'meetBldgCode': '0406', 'meetRoom': '0010'}]",3,English
ENC2210,Technical Writing,"Surveys the forms and methods of communication used in business, industry and government, including informal and formal reports, letters, resumes, and proposals.",Prereq: ENC 1101 or test score equivalency.,Emily Hunsaker,[],3,English
ENC3310,Advanced Exposition,"Advanced composition course in methods of exposition: definition, classification, comparison and contrast, analysis, illustration and identification. (WR)",Prereq: Junior standing or higher and two 1000/2000-level English courses.,Anwesha Chattopadhyay,"[{'meetNo': 1, 'meetDays': ['M', 'W', 'F'], 'meetTimeBegin': '12:50 PM', 'meetTimeEnd': '1:40 PM', 'meetPeriodBegin': '6', 'meetPeriodEnd': '6', 'meetBuilding': '', 'meetBldgCode': 'WEB', 'meetRoom': ''}]",3,English
ENG1131,Writing through Media,"Course examines media studies and writing. Explores practices of literacy in context of popular culture, including cinema, television, advertising, popular fiction and journalism, including selections from the Western canon.",Prereq: ENC 1101 or test score equivalent.,Dinalo Chakma,"[{'meetNo': 1, 'meetDays': ['M', 'W', 'F'], 'meetTimeBegin': '10:40 AM', 'meetTimeEnd': '11:30 AM', 'meetPeriodBegin': '4', 'meetPeriodEnd': '4', 'meetBuilding': '', 'meetBldgCode': 'WEB', 'meetRoom': ''}, {'meetNo': 2, 'meetDays': ['M'], 'meetTimeBegin': '4:05 PM', 'meetTimeEnd': '7:05 PM', 'meetPeriodBegin': '9', 'meetPeriodEnd': '11', 'meetBuilding': '', 'meetBldgCode': 'WEB', 'meetRoom': ''}]",4,English
ENG2300,Film Analysis,Introduces thinking and writing about the cinema by means of film theory and history. (WR),Prereq: ENC 1101 or test score equivalent.,Brooke Whitaker,"[{'meetNo': 1, 'meetDays': ['M', 'W', 'F'], 'meetTimeBegin': '1:55 PM', 'meetTimeEnd': '2:45 PM', 'meetPeriodBegin': '7', 'meetPeriodEnd': '7', 'meetBuilding': 'TUR', 'meetBldgCode': '0267', 'meetRoom': '2322'}, {'meetNo': 3, 'meetDays': ['T'], 'meetTimeBegin': '7:20 PM', 'meetTimeEnd': '10:10 PM', 'meetPeriodBegin': 'E1', 'meetPeriodEnd': 'E3', 'meetBuilding': 'TUR', 'meetBldgCode': '0267', 'meetRoom': '2334'}]",4,English
ENG3010,The Theory and Practice of Modern Criticism,Intensive introductory study of 20th-century criticism theory.,Prereq: 3 credits of ENC or CRW or AML or ENG or ENL.,Phillip Wegner,"[{'meetNo': 1, 'meetDays': ['T'], 'meetTimeBegin': '11:45 AM', 'meetTimeEnd': '1:40 PM', 'meetPeriodBegin': '5', 'meetPeriodEnd': '6', 'meetBuilding': 'MAT', 'meetBldgCode': '0406', 'meetRoom': '0115'}, {'meetNo': 2, 'meetDays': ['R'], 'meetTimeBegin': '12:50 PM', 'meetTimeEnd': '1:40 PM', 'meetPeriodBegin': '6', 'meetPeriodEnd': '6', 'meetBuilding': 'MAT', 'meetBldgCode': '0406', 'meetRoom': '0115'}]",3,English
ENG3011,The Theorists: Black Diasporic Thought,"Studies one or more theorists, contemporary or historical.",Prereq: 3 credits of ENC or CRW or AML or ENG or ENL.,Catherine Saunders,"[{'meetNo': 1, 'meetDays': ['T'], 'meetTimeBegin': '1:55 PM', 'meetTimeEnd': '2:45 PM', 'meetPeriodBegin': '7', 'meetPeriodEnd': '7', 'meetBuilding': 'MAT', 'meetBldgCode': '0406', 'meetRoom': '0113'}, {'meetNo': 2, 'meetDays': ['R'], 'meetTimeBegin': '1:55 PM', 'meetTimeEnd': '3:50 PM', 'meetPeriodBegin': '7', 'meetPeriodEnd': '8', 'meetBuilding': 'MAT', 'meetBldgCode': '0406', 'meetRoom': '0113'}]",3,English
ENG3115,Introduction to Film: Criticism and Theory,Introduces the principal theoretical and critical issues raised by the first century of the cinema.,Prereq: 3 credits of ENC or CRW or AML or ENG or ENL.,Nathan Stelari,"[{'meetNo': 1, 'meetDays': ['T'], 'meetTimeBegin': '3:00 PM', 'meetTimeEnd': '4:55 PM', 'meetPeriodBegin': '8', 'meetPeriodEnd': '9', 'meetBuilding': 'TUR', 'meetBldgCode': '0267', 'meetRoom': '2334'}, {'meetNo': 2, 'meetDays': ['R'], 'meetTimeBegin': '4:05 PM', 'meetTimeEnd': '4:55 PM', 'meetPeriodBegin': '9', 'meetPeriodEnd': '9', 'meetBuilding': 'TUR', 'meetBldgCode': '0267', 'meetRoom': '2334'}, {'meetNo': 3, 'meetDays': ['M'], 'meetTimeBegin': '7:20 PM', 'meetTimeEnd': '10:10 PM', 'meetPeriodBegin': 'E1', 'meetPeriodEnd': 'E3', 'meetBuilding': 'ROL', 'meetBldgCode': '0012', 'meetRoom': '0115'}]",4,English
ENG3503,CINEMA OF ENVIRONMENTAL CRISIS,"Surveys global cinema of environmental crisis with a focus on historical and contemporary experimental, fiction, and nonfiction films’ representations of human responses to environmental change. In addition to the three hours of weekly lectures, requires attendance at a weekly film screening (up to three hours).",Prereq: Sophomore standing or higher.,Terry Harpold,"[{'meetNo': 1, 'meetDays': ['T'], 'meetTimeBegin': '10:40 AM', 'meetTimeEnd': '11:30 AM', 'meetPeriodBegin': '4', 'meetPeriodEnd': '4', 'meetBuilding': 'TUR', 'meetBldgCode': '0267', 'meetRoom': '2334'}, {'meetNo': 2, 'meetDays': ['R'], 'meetTimeBegin': '10:40 AM', 'meetTimeEnd': '12:35 PM', 'meetPeriodBegin': '4', 'meetPeriodEnd': '5', 'meetBuilding': 'TUR', 'meetBldgCode': '0267', 'meetRoom': '2334'}, {'meetNo': 3, 'meetDays': ['W'], 'meetTimeBegin': '4:05 PM', 'meetTimeEnd': '7:05 PM', 'meetPeriodBegin': '9', 'meetPeriodEnd': '11', 'meetBuilding': 'TUR', 'meetBldgCode': '0267', 'meetRoom': '2334'}]",4,English
ENG4015,Psychological Approaches to Literature: What Is Desire?,Use of various psychological concepts to the application of literary study. Refer to department website.,Prereq: 3 credits of ENC or CRW or AML or ENG or ENL.,Pietro Bianchi,"[{'meetNo': 1, 'meetDays': ['M', 'W', 'F'], 'meetTimeBegin': '11:45 AM', 'meetTimeEnd': '12:35 PM', 'meetPeriodBegin': '5', 'meetPeriodEnd': '5', 'meetBuilding': 'MAT', 'meetBldgCode': '0406', 'meetRoom': '0115'}]",3,English
ENG4133,Film Studies: Finding Footage: Cin Paratext,"Variable topics provide in-depth study of film genres, notable film directors, and other significant topics on subjects related to film.",Prereq: 3 credits of ENC or CRW or AML or ENG or ENL.,Richard Burt,"[{'meetNo': 1, 'meetDays': ['T'], 'meetTimeBegin': '8:30 AM', 'meetTimeEnd': '10:25 AM', 'meetPeriodBegin': '2', 'meetPeriodEnd': '3', 'meetBuilding': 'TUR', 'meetBldgCode': '0267', 'meetRoom': '2334'}, {'meetNo': 2, 'meetDays': ['R'], 'meetTimeBegin': '9:35 AM', 'meetTimeEnd': '10:25 AM', 'meetPeriodBegin': '3', 'meetPeriodEnd': '3', 'meetBuilding': 'TUR', 'meetBldgCode': '0267', 'meetRoom': '2334'}, {'meetNo': 3, 'meetDays': ['R'], 'meetTimeBegin': '4:05 PM', 'meetTimeEnd': '7:05 PM', 'meetPeriodBegin': '9', 'meetPeriodEnd': '11', 'meetBuilding': 'ROL', 'meetBldgCode': '0012', 'meetRoom': '0115'}]",4,English
ENG4135,National Cinemas: Weimar Cinema,"Variable topics study of the films of historically important national cinemas, such as American, French, German, Italian, Russian, Japanese.",Prereq: 3 credits of ENC or CRW or AML or ENG or ENL.,Barbara Mennel,"[{'meetNo': 1, 'meetDays': ['M', 'W', 'F'], 'meetTimeBegin': '10:40 AM', 'meetTimeEnd': '11:30 AM', 'meetPeriodBegin': '4', 'meetPeriodEnd': '4', 'meetBuilding': 'TUR', 'meetBldgCode': '0267', 'meetRoom': '2334'}, {'meetNo': 2, 'meetDays': ['T'], 'meetTimeBegin': '4:05 PM', 'meetTimeEnd': '7:05 PM', 'meetPeriodBegin': '9', 'meetPeriodEnd': '11', 'meetBuilding': 'ROL', 'meetBldgCode': '0012', 'meetRoom': '0115'}]",4,English
ENG4135,National Cinemas: Modern Czech Cinema,"Variable topics study of the films of historically important national cinemas, such as American, French, German, Italian, Russian, Japanese.",Prereq: 3 credits of ENC or CRW or AML or ENG or ENL.,Holly Raynard,"[{'meetNo': 1, 'meetDays': ['T'], 'meetTimeBegin': '11:45 AM', 'meetTimeEnd': '1:40 PM', 'meetPeriodBegin': '5', 'meetPeriodEnd': '6', 'meetBuilding': '', 'meetBldgCode': '', 'meetRoom': ''}, {'meetNo': 2, 'meetDays': ['R'], 'meetTimeBegin': '12:50 PM', 'meetTimeEnd': '1:40 PM', 'meetPeriodBegin': '6', 'meetPeriodEnd': '6', 'meetBuilding': '', 'meetBldgCode': '', 'meetRoom': ''}, {'meetNo': 3, 'meetDays': ['R'], 'meetTimeBegin': '7:20 PM', 'meetTimeEnd': '10:10 PM', 'meetPeriodBegin': 'E1', 'meetPeriodEnd': 'E3', 'meetBuilding': '', 'meetBldgCode': '', 'meetRoom': ''}]",4,English
ENG4135,National Cinemas: Italian Cinema,"Variable topics study of the films of historically important national cinemas, such as American, French, German, Italian, Russian, Japanese.",Prereq: 3 credits of ENC or CRW or AML or ENG or ENL.,Pietro Bianchi,"[{'meetNo': 1, 'meetDays': ['M', 'W', 'F'], 'meetTimeBegin': '9:35 AM', 'meetTimeEnd': '10:25 AM', 'meetPeriodBegin': '3', 'meetPeriodEnd': '3', 'meetBuilding': 'TUR', 'meetBldgCode': '0267', 'meetRoom': '2334'}, {'meetNo': 2, 'meetDays': ['M'], 'meetTimeBegin': '4:05 PM', 'meetTimeEnd': '7:05 PM', 'meetPeriodBegin': '9', 'meetPeriodEnd': '11', 'meetBuilding': 'ROL', 'meetBldgCode': '0012', 'meetRoom': '0115'}]",4,English
ENG4905,Independent Study,For advanced students who desire to supplement the regular courses by independent reading or research under guidance.,Prereq: instructor and/or department permission.,Phillip Wegner,[],VAR,English
ENG4911,Undergraduate Research in English,"Provides firsthand, supervised research in English. Projects may involve inquiry, design, investigation, scholarship, discovery or application in English.",,Peter Rudnytsky,[],VAR,English
ENG4936,Honors Seminar: The Great American Novel,Open to English majors who have maintained an overall junior/senior level GPA of 3.5. Small seminar classes study topics in English and American literature or film.,Prereq: undergraduate coordinator and/or department permission.,Susan Hegeman,"[{'meetNo': 1, 'meetDays': ['M', 'W', 'F'], 'meetTimeBegin': '11:45 AM', 'meetTimeEnd': '12:35 PM', 'meetPeriodBegin': '5', 'meetPeriodEnd': '5', 'meetBuilding': 'FLI', 'meetBldgCode': '0008', 'meetRoom': '0115'}]",3,English
ENG4940,English Internship,"Admission requires a written proposal of appropriate work experience from the student and a written acceptance for employment from the employer, including designation of a supervisor. Successful completion requires a written summation of the work experience from the student and a written evaluation of performance by the supervisor.",Prereq: 12 credits of 3000/4000-level work in English and undergraduate coordinator permission.,Roger Maioli,[],VAR,English
ENG4953,Department Seminar: American Women's Poetry,Seminar offered on a space-available basis allowing department majors to develop their individual programs of study while focusing on a common topic.,Prereq: English major and 9 credits of 3000/4000-level work in English.,Marsha Bryant,"[{'meetNo': 1, 'meetDays': ['W'], 'meetTimeBegin': '12:50 PM', 'meetTimeEnd': '3:50 PM', 'meetPeriodBegin': '6', 'meetPeriodEnd': '8', 'meetBuilding': 'TUR', 'meetBldgCode': '0267', 'meetRoom': '2334'}]",3,English
ENG4953,Department Seminar: bell hooks,Seminar offered on a space-available basis allowing department majors to develop their individual programs of study while focusing on a common topic.,Prereq: English major and 9 credits of 3000/4000-level work in English.,Tace Hedrick,"[{'meetNo': 1, 'meetDays': ['M'], 'meetTimeBegin': '12:50 PM', 'meetTimeEnd': '3:50 PM', 'meetPeriodBegin': '6', 'meetPeriodEnd': '8', 'meetBuilding': '', 'meetBldgCode': '', 'meetRoom': ''}]",3,English
ENG4970,Honors Thesis Project,Student selects an English faculty member to act as director for an independent research project that culminates in preparation of an honors thesis. An abstract and one copy of the thesis must be delivered to 101 Academic Advising Center by the semester deadline specified by the Honors Office.,Prereq: completion of one semester of ENG 4936; undergraduate coordinator permission. Open to English honors students.,Anastasia Ulanowicz,[],3,English
ENG6138,Studies in the Movies,Studies in the Movies,,Barbara Mennel,"[{'meetNo': 1, 'meetDays': ['F'], 'meetTimeBegin': '12:50 PM', 'meetTimeEnd': '3:50 PM', 'meetPeriodBegin': '6', 'meetPeriodEnd': '8', 'meetBuilding': 'TUR', 'meetBldgCode': '0267', 'meetRoom': '2334'}, {'meetNo': 2, 'meetDays': ['W'], 'meetTimeBegin': '4:05 PM', 'meetTimeEnd': '7:05 PM', 'meetPeriodBegin': '9', 'meetPeriodEnd': '11', 'meetBuilding': 'ROL', 'meetBldgCode': '0012', 'meetRoom': '0115'}]",3,English
ENG6824,"Proseminar in Graduate Studies in English: Research, Writing, and the Profession: Race/Narrative Form/Vict Novel","The proseminar has a two-fold objective: to introduce students to research methods, scholarly writing, and professionalization and to examine of a specific topic in English, Writing, or Media Studies. Students have the opportunity to work in their areas of research. Assignments include bibliographies, academic genres, presentations, and peer reviews.",,Sean Grass,"[{'meetNo': 1, 'meetDays': ['W'], 'meetTimeBegin': '7:20 PM', 'meetTimeEnd': '10:10 PM', 'meetPeriodBegin': 'E1', 'meetPeriodEnd': 'E3', 'meetBuilding': '', 'meetBldgCode': '', 'meetRoom': ''}]",3,English
ENG6906,Individual Work,Individual Work,,Pietro Bianchi,[],VAR,English
ENG6971,Research for Master's Thesis,Research for Master's Thesis,,Uwem Akpan,[],VAR,English
ENG7979,Advanced Research,Research for doctoral students before admission to candidacy. Designed for students with a master's degree in the field of study or for students who have been accepted for a doctoral program. Not appropriate for students who have been admitted to candidacy.,,Marsha Bryant,[],VAR,English
ENG7980,Research for Doctoral Dissertation,Research for Doctoral Dissertation,,Marsha Bryant,[],VAR,English
ENL2012,Survey of English Literature: Medieval to 1750,"This course fulfills three hours of the general education requirement in humanities and the writing and math requirement while introducing students to some of the major writers, issues and forms found in the history of the period, including selections from the Western canon. The breadth and focus of this survey will be determined by the instructor.",Prereq: ENC 1101 or test score equivalent.,Thomas De Groff,"[{'meetNo': 1, 'meetDays': ['T'], 'meetTimeBegin': '11:45 AM', 'meetTimeEnd': '1:40 PM', 'meetPeriodBegin': '5', 'meetPeriodEnd': '6', 'meetBuilding': '', 'meetBldgCode': 'WEB', 'meetRoom': ''}, {'meetNo': 2, 'meetDays': ['R'], 'meetTimeBegin': '12:50 PM', 'meetTimeEnd': '1:40 PM', 'meetPeriodBegin': '6', 'meetPeriodEnd': '6', 'meetBuilding': '', 'meetBldgCode': 'WEB', 'meetRoom': ''}]",3,English
ENL2022,Survey of English Literature: 1750 to the Present,"This course fulfills three hours of the general education requirement in humanities and the writing and math requirement while introducing students to some of the major writers, issues and forms found in the history of the period, including selections from the Western canon. The breadth and focus of this survey will be determined by the instructor.",Prereq: ENC 1101 or test score equivalent.,William Iffland,"[{'meetNo': 1, 'meetDays': ['M', 'W', 'F'], 'meetTimeBegin': '1:55 PM', 'meetTimeEnd': '2:45 PM', 'meetPeriodBegin': '7', 'meetPeriodEnd': '7', 'meetBuilding': 'MAT', 'meetBldgCode': '0406', 'meetRoom': '0007'}]",3,English
ENL3154,Twentieth-Century British Poetry,"General study of the most prominent British poets of the 20th Century with particular emphasis on Yeats, Lawrence, Graves, Eliot, Sitwell, Dylan Thomas, and Ted Hughes.",Prereq: 3 credits of ENC or CRW or AML or ENG or ENL.,Marsha Bryant,"[{'meetNo': 1, 'meetDays': ['M', 'W', 'F'], 'meetTimeBegin': '10:40 AM', 'meetTimeEnd': '11:30 AM', 'meetPeriodBegin': '4', 'meetPeriodEnd': '4', 'meetBuilding': 'TUR', 'meetBldgCode': '0267', 'meetRoom': '2305'}]",3,English
ENL4221,Renaissance Literature: 17th Century: John Milton's Paradise Lost,"Variable topics in Stuart Literature and Culture, 1603-1700. Focuses on or combine topics such as the progress of literary genres; the works of single or paired authors; the social institutions and material conditions of textual production; thematically organized studies of cultural relations between literary and nonliterary texts; issues of gender, religion, nationhood and race; and writing in the era before, during and after the English Revolution. Refer to department website for offered topics.",Prereq: 3 credits of ENC or CRW or AML or ENG or ENL.,Peter Rudnytsky,"[{'meetNo': 1, 'meetDays': ['M', 'W', 'F'], 'meetTimeBegin': '3:00 PM', 'meetTimeEnd': '3:50 PM', 'meetPeriodBegin': '8', 'meetPeriodEnd': '8', 'meetBuilding': 'MAT', 'meetBldgCode': '0406', 'meetRoom': '0113'}]",3,English
ENL4303,Major Figures of British Literature and Culture: The Brontes,"In-depth focus on one or two major cultural figures, such as Marlowe, Austen, Scott, Eliot, Dickens, Yeats, Smith, Ishiguro, Kureishi, etc.","Prereq: Prerequisite to all 3000/4000-level courses are six credits of English at the 1000/2000
level or department permission.",Sean Grass,"[{'meetNo': 1, 'meetDays': ['M', 'W', 'F'], 'meetTimeBegin': '1:55 PM', 'meetTimeEnd': '2:45 PM', 'meetPeriodBegin': '7', 'meetPeriodEnd': '7', 'meetBuilding': 'MAT', 'meetBldgCode': '0406', 'meetRoom': '0115'}]",3,English
ENL4333,Shakespeare: Shakespeare: Divided Selves,"Studies selections from Shakespeare. Topics include tracing Shakespeare's dramatic career, concentrating on one or several genres including histories, comedies, tragedies, and romances; developing the history of Shakespeare reception; approaching Shakespeare through performance, including acting and directing; and approaching Shakespeare through feminist, materialist, or psychoanalytic methods.",Prereq: 3 credits of ENC or CRW or AML or ENG or ENL.,Peter Rudnytsky,"[{'meetNo': 1, 'meetDays': ['M', 'W', 'F'], 'meetTimeBegin': '1:55 PM', 'meetTimeEnd': '2:45 PM', 'meetPeriodBegin': '7', 'meetPeriodEnd': '7', 'meetBuilding': 'MAT', 'meetBldgCode': '0406', 'meetRoom': '0114'}]",3,English
