Code,Name,Description,Prerequisites,Instructors,Meet Times,Credit Hours,Department
EUH4930,History Research Seminar: Europe: World War II in Europe,"Through rotating in content, this seminar has two distinct goals: introduce the historiography of a specific topic and produce a substantial research paper based on primary source evidence.",Prereq: HIS 3942 with a minimum grade of C.,Seth Bernstein,"[{'meetNo': 1, 'meetDays': ['R'], 'meetTimeBegin': '11:45 AM', 'meetTimeEnd': '2:45 PM', 'meetPeriodBegin': '5', 'meetPeriodEnd': '7', 'meetBuilding': 'FLI', 'meetBldgCode': '0008', 'meetRoom': '0229'}]",3,History
EUH5934,Topics in European History: Material Culture and History,Topics in European History,,Florin Curta,"[{'meetNo': 1, 'meetDays': ['M'], 'meetTimeBegin': '5:10 PM', 'meetTimeEnd': '8:10 PM', 'meetPeriodBegin': '10', 'meetPeriodEnd': 'E1', 'meetBuilding': 'FLI', 'meetBldgCode': '0008', 'meetRoom': '0229'}]",3,History
HIS3465,The Scientific Revolution,"Emergence of modern science from Copernicus to Newton exploring the notions of empiricism, experiment, mechanism, materialism, and the historical concepts of continuity, change, revolution, and progress.",Prereq: 3 credits of history.,Anton Matytsin,"[{'meetNo': 1, 'meetDays': ['T'], 'meetTimeBegin': '10:40 AM', 'meetTimeEnd': '11:30 AM', 'meetPeriodBegin': '4', 'meetPeriodEnd': '4', 'meetBuilding': 'FLI', 'meetBldgCode': '0008', 'meetRoom': '0111'}, {'meetNo': 2, 'meetDays': ['R'], 'meetTimeBegin': '10:40 AM', 'meetTimeEnd': '12:35 PM', 'meetPeriodBegin': '4', 'meetPeriodEnd': '5', 'meetBuilding': 'FLI', 'meetBldgCode': '0008', 'meetRoom': '0111'}]",3,History
HIS3942,History Practicum: Slavery in British Atlantic,Learn the elements of the professional study of history: the critical reading of sources (primary and secondary); research skills; and a variety of historical methodologies.,Prereq: 3 credits of history.,Matthew Strickland,"[{'meetNo': 1, 'meetDays': ['T'], 'meetTimeBegin': '11:45 AM', 'meetTimeEnd': '1:40 PM', 'meetPeriodBegin': '5', 'meetPeriodEnd': '6', 'meetBuilding': 'FLI', 'meetBldgCode': '0008', 'meetRoom': '0119'}, {'meetNo': 2, 'meetDays': ['R'], 'meetTimeBegin': '12:50 PM', 'meetTimeEnd': '1:40 PM', 'meetPeriodBegin': '6', 'meetPeriodEnd': '6', 'meetBuilding': 'FLI', 'meetBldgCode': '0008', 'meetRoom': '0119'}]",3,History
HIS3942,History Practicum: The Long Civil Rights,Learn the elements of the professional study of history: the critical reading of sources (primary and secondary); research skills; and a variety of historical methodologies.,Prereq: 3 credits of history.,William Billups,"[{'meetNo': 1, 'meetDays': ['T'], 'meetTimeBegin': '3:00 PM', 'meetTimeEnd': '4:55 PM', 'meetPeriodBegin': '8', 'meetPeriodEnd': '9', 'meetBuilding': 'FLI', 'meetBldgCode': '0008', 'meetRoom': '0117'}, {'meetNo': 2, 'meetDays': ['R'], 'meetTimeBegin': '4:05 PM', 'meetTimeEnd': '4:55 PM', 'meetPeriodBegin': '9', 'meetPeriodEnd': '9', 'meetBuilding': 'FLI', 'meetBldgCode': '0008', 'meetRoom': '0117'}]",3,History
HIS3942,History Practicum: The Conquest of Mexico,Learn the elements of the professional study of history: the critical reading of sources (primary and secondary); research skills; and a variety of historical methodologies.,Prereq: 3 credits of history.,Max Deardorff,"[{'meetNo': 1, 'meetDays': ['M', 'W', 'F'], 'meetTimeBegin': '12:50 PM', 'meetTimeEnd': '1:40 PM', 'meetPeriodBegin': '6', 'meetPeriodEnd': '6', 'meetBuilding': 'FLI', 'meetBldgCode': '0008', 'meetRoom': '0101'}]",3,History
HIS3942,History Practicum: Women in Early America,Learn the elements of the professional study of history: the critical reading of sources (primary and secondary); research skills; and a variety of historical methodologies.,Prereq: 3 credits of history.,Olivia Barnard,"[{'meetNo': 1, 'meetDays': ['M', 'W', 'F'], 'meetTimeBegin': '1:55 PM', 'meetTimeEnd': '2:45 PM', 'meetPeriodBegin': '7', 'meetPeriodEnd': '7', 'meetBuilding': 'FLI', 'meetBldgCode': '0008', 'meetRoom': '0111'}]",3,History
HIS4971,History Honors Workshop,"Assists with all phases of the senior thesis, including project design, research, writing, and oral presentation. Students complete assignments that build toward a draft of a preliminary chapter or the introduction. The workshop provides a collaborative environment in which to pursue individual thesis projects.",Prereq: acceptance into the History Honors program.,Sandy Chang,"[{'meetNo': 1, 'meetDays': ['W'], 'meetTimeBegin': '3:00 PM', 'meetTimeEnd': '6:00 PM', 'meetPeriodBegin': '8', 'meetPeriodEnd': '10', 'meetBuilding': 'FLI', 'meetBldgCode': '0008', 'meetRoom': '0115'}]",3,History
HIS6061,Introduction to Historiography,"Introduction to the schools, theories, and philosophies of the discipline of history.",,Anton Matytsin,"[{'meetNo': 1, 'meetDays': ['T'], 'meetTimeBegin': '3:00 PM', 'meetTimeEnd': '6:00 PM', 'meetPeriodBegin': '8', 'meetPeriodEnd': '10', 'meetBuilding': 'FLI', 'meetBldgCode': '0008', 'meetRoom': '0229'}]",3,History
LAH3130,Colonial Latin America,"Surveys the formation of Spanish and Portuguese imperial systems and colonial societies in America in the 16th, 17th and 18th centuries.",Prereq: 3 credits of history.,Austin Nelsen,"[{'meetNo': 1, 'meetDays': ['T'], 'meetTimeBegin': '8:30 AM', 'meetTimeEnd': '10:25 AM', 'meetPeriodBegin': '2', 'meetPeriodEnd': '3', 'meetBuilding': 'FLI', 'meetBldgCode': '0008', 'meetRoom': '0101'}, {'meetNo': 2, 'meetDays': ['R'], 'meetTimeBegin': '9:35 AM', 'meetTimeEnd': '10:25 AM', 'meetPeriodBegin': '3', 'meetPeriodEnd': '3', 'meetBuilding': 'FLI', 'meetBldgCode': '0008', 'meetRoom': '0101'}]",3,History
LAH3300,Contemporary Latin America,Contemporary challenges to traditional structures; revolution and evolution.,"Prereq:  ​3 credits of an AFH, AMH, ASH, EUH, LAH, or WOH course.",Heather Vrana,"[{'meetNo': 1, 'meetDays': ['M', 'W', 'F'], 'meetTimeBegin': '12:50 PM', 'meetTimeEnd': '1:40 PM', 'meetPeriodBegin': '6', 'meetPeriodEnd': '6', 'meetBuilding': 'FLI', 'meetBldgCode': '0008', 'meetRoom': '0111'}]",3,History
LAH3725,"Race, Religion, and Revolution in the Black Caribbean","Explores the history of Jamaica, Haiti, the Dominican Republic and the Miskito Coast of Nicaragua. Explains the emergence of colonial and neo-colonial political systems, the concept of race in relationship to slavery and global capitalism as well as the role of religion in revolutionary actions.",Prereq: sophomore standing or higher.,Lillian Guerra,"[{'meetNo': 1, 'meetDays': ['T'], 'meetTimeBegin': '11:45 AM', 'meetTimeEnd': '1:40 PM', 'meetPeriodBegin': '5', 'meetPeriodEnd': '6', 'meetBuilding': 'TUR', 'meetBldgCode': '0267', 'meetRoom': '2319'}, {'meetNo': 2, 'meetDays': ['R'], 'meetTimeBegin': '12:50 PM', 'meetTimeEnd': '1:40 PM', 'meetPeriodBegin': '6', 'meetPeriodEnd': '6', 'meetBuilding': 'TUR', 'meetBldgCode': '0267', 'meetRoom': '2319'}]",3,History
LAH3931,Special Topics in Latin American History: Social Movements and Gender,"Selected, variable topics in the history and culture of Latin America.",Prereq: 3 credits of history.,Meg Weeks,"[{'meetNo': 1, 'meetDays': ['M'], 'meetTimeBegin': '12:50 PM', 'meetTimeEnd': '3:50 PM', 'meetPeriodBegin': '6', 'meetPeriodEnd': '8', 'meetBuilding': 'GRI', 'meetBldgCode': '0002', 'meetRoom': '0376'}]",VAR,History
LAH4930,History Research Seminar: Latin America: Latin America's Cold War,"Through rotating in content, this seminar has two distinct goals: introduce the historiography of a specific topic and produce a substantial research paper based on primary source evidence.",Prereq: HIS 3942 with a minimum grade of C.,Heather Vrana,"[{'meetNo': 1, 'meetDays': ['M'], 'meetTimeBegin': '1:55 PM', 'meetTimeEnd': '4:55 PM', 'meetPeriodBegin': '7', 'meetPeriodEnd': '9', 'meetBuilding': 'FLI', 'meetBldgCode': '0008', 'meetRoom': '0229'}]",3,History
LAH5934,Topics in Latin American History: Comparative Slavery,Topics in Latin American History,,Fernanda Bretones Lane,"[{'meetNo': 1, 'meetDays': ['R'], 'meetTimeBegin': '4:05 PM', 'meetTimeEnd': '7:05 PM', 'meetPeriodBegin': '9', 'meetPeriodEnd': '11', 'meetBuilding': 'FLI', 'meetBldgCode': '0008', 'meetRoom': '0229'}]",3,History
WOH1432,Pirates and Piracy: A Global History,"An examination of the history of pirates and piracy from antiquity through to the present day. Major themes include: the changing definitions of piracy; the reasons individuals, groups, and nations have practiced or supported piracy; and how pirates have been depicted in popular culture.",,Matthew Strickland,"[{'meetNo': 1, 'meetDays': ['T', 'R'], 'meetTimeBegin': '9:35 AM', 'meetTimeEnd': '10:25 AM', 'meetPeriodBegin': '3', 'meetPeriodEnd': '3', 'meetBuilding': 'FLI', 'meetBldgCode': '0008', 'meetRoom': '0105'}, {'meetNo': 2, 'meetDays': ['F'], 'meetTimeBegin': '9:35 AM', 'meetTimeEnd': '10:25 AM', 'meetPeriodBegin': '3', 'meetPeriodEnd': '3', 'meetBuilding': 'TUR', 'meetBldgCode': '0267', 'meetRoom': '2346'}]",3,History
WOH3233,History of Christianity 1,"Surveys the history of Christianity, c. 100 to c. 1300, from its status as a persecuted minority religion of the Roman Empire to its position of dominance in the civilizations of medieval Europe and Byzantium.","Prereq:  ​3 credits of an AFH, AMH, ASH, EUH, LAH, or WOH course.",Zachary Young,"[{'meetNo': 1, 'meetDays': ['T'], 'meetTimeBegin': '8:30 AM', 'meetTimeEnd': '10:25 AM', 'meetPeriodBegin': '2', 'meetPeriodEnd': '3', 'meetBuilding': 'FLI', 'meetBldgCode': '0008', 'meetRoom': '0119'}, {'meetNo': 2, 'meetDays': ['R'], 'meetTimeBegin': '9:35 AM', 'meetTimeEnd': '10:25 AM', 'meetPeriodBegin': '3', 'meetPeriodEnd': '3', 'meetBuilding': 'FLI', 'meetBldgCode': '0008', 'meetRoom': '0119'}]",3,History
WOH3931,Special Topics in World History: Empires in History & Myth,Selected variable topics in world history.,"Prereq: 3 credits in AFH, ASH, AMH, EUH, HIS, LAH or WOH.",Christopher Goodwin,"[{'meetNo': 1, 'meetDays': ['T'], 'meetTimeBegin': '10:40 AM', 'meetTimeEnd': '11:30 AM', 'meetPeriodBegin': '4', 'meetPeriodEnd': '4', 'meetBuilding': 'FLI', 'meetBldgCode': '0008', 'meetRoom': '0101'}, {'meetNo': 2, 'meetDays': ['R'], 'meetTimeBegin': '10:40 AM', 'meetTimeEnd': '12:35 PM', 'meetPeriodBegin': '4', 'meetPeriodEnd': '5', 'meetBuilding': 'FLI', 'meetBldgCode': '0008', 'meetRoom': '0101'}]",3,History
WOH3931,Special Topics in World History: The Cold War in Global Context,Selected variable topics in world history.,"Prereq: 3 credits in AFH, ASH, AMH, EUH, HIS, LAH or WOH.",Theresa Whitely,"[{'meetNo': 1, 'meetDays': ['M', 'W', 'F'], 'meetTimeBegin': '10:40 AM', 'meetTimeEnd': '11:30 AM', 'meetPeriodBegin': '4', 'meetPeriodEnd': '4', 'meetBuilding': 'FLI', 'meetBldgCode': '0008', 'meetRoom': '0111'}]",3,History
WOH4930,History Research Seminar: World History: Archives Fragments Writing HY,Introduces the historiography of a specific topic; requires a substantial research paper based on primary source evidence.,Prereq: HIS 3942 with a minimum grade of C.,Philip Janzen,"[{'meetNo': 1, 'meetDays': ['W'], 'meetTimeBegin': '12:50 PM', 'meetTimeEnd': '3:50 PM', 'meetPeriodBegin': '6', 'meetPeriodEnd': '8', 'meetBuilding': 'FLI', 'meetBldgCode': '0008', 'meetRoom': '0229'}]",3,History
WOH5932,Topics in World History: Cities of the Modern World,Examines major themes and topics in world history.,,Paige Glotzer,"[{'meetNo': 1, 'meetDays': ['W'], 'meetTimeBegin': '4:05 PM', 'meetTimeEnd': '7:05 PM', 'meetPeriodBegin': '9', 'meetPeriodEnd': '11', 'meetBuilding': '', 'meetBldgCode': '', 'meetRoom': ''}]",3,History
AML2070,Survey of American Literature,"This class will survey American literature and narrative from the precolonial period through to the present, largely structured chronologically. Throughout our class, we will read famous, well-known texts that are considered part of the Western canon and lesser-known texts or texts that are not often featured in general-education literature syllabi. The canon refers to the body of literature that is considered high-quality, artistic, and valued representations of American identity.",Prereq: ENC 1101 or test score equivalent.,Shuya Su,"[{'meetNo': 1, 'meetDays': ['M', 'W', 'F'], 'meetTimeBegin': '11:45 AM', 'meetTimeEnd': '12:35 PM', 'meetPeriodBegin': '5', 'meetPeriodEnd': '5', 'meetBuilding': 'MAT', 'meetBldgCode': '0406', 'meetRoom': '0007'}]",3,English
